;sc;VER;VET;HAM;BOT;ALB2;GAS2;GRO;RAI;MAG;NOR;RIC;GIO;HUL;LEC;PER;KVY;STR;RUS;KUB;SAI
44;0;2;1;3;6;4;7;11;8;16;12;17;9;18;5;10;13;15;19;20;14
45;0;2;1;3;6;4;7;10;8;17;11;16;9;18;5;15;13;14;19;20;12
46;0;2;1;3;6;4;7;9;8;16;10;15;13;18;5;14;17;12;19;20;11
47;0;2;1;3;6;4;8;7;11;16;9;15;13;18;5;14;17;12;19;20;10
48;0;1;3;2;6;4;8;7;11;16;9;15;13;18;5;14;17;12;19;20;10
49;0;1;3;2;6;4;7;8;11;16;9;15;13;18;5;14;17;12;19;20;10
50;0;1;3;2;5;6;7;8;11;17;10;15;13;18;4;14;16;12;19;20;9
51;0;1;3;2;ab;5;6;7;9;16;10;14;12;17;4;13;15;11;18;19;8
52;0;1;3;2;ab;5;6;7;9;16;11;14;10;17;4;12;15;13;18;19;8
53;1;2;3;1;ab;5;6;7;9;16;14;12;10;17;4;11;13;15;18;19;8
54;1;2;3;1;ab;4;6;7;9;16;14;12;10;17;5;11;13;15;18;19;8
55;1;2;3;1;ab;4;6;7;9;16;14;12;10;17;5;11;13;15;18;19;8
56;1;2;3;1;ab;4;6;7;9;16;14;12;10;17;5;11;13;15;18;19;8
57;1;2;3;1;ab;4;6;7;9;16;14;12;10;17;5;11;13;15;18;19;8
58;1;2;3;1;ab;4;6;7;9;17;14;12;10;16;5;11;13;15;18;19;8
59;0;1;4;2;ab;3;6;11;8;17;14;10;9;16;5;12;13;15;18;19;7
60;0;1;4;2;ab;3;6;11;8;17;13;10;9;14;5;12;16;15;18;19;7
61;0;1;4;2;ab;3;6;12;8;16;11;10;9;14;5;13;17;15;18;19;7
62;0;1;4;2;ab;3;6;13;8;16;11;10;9;14;5;12;17;15;18;19;7
63;0;1;4;2;ab;3;6;16;8;15;11;10;9;13;5;12;17;14;18;19;7
64;0;1;4;2;ab;3;6;18;8;15;11;10;9;13;5;12;16;14;17;19;7
65;1;1;17;3;ab;2;4;15;6;12;9;8;7;11;18;10;13;19;14;16;5
66;1;1;17;4;ab;2;3;15;6;12;9;8;7;11;18;10;13;19;14;16;5
67;1;1;17;4;ab;2;3;15;6;12;9;8;7;11;18;10;13;19;14;16;5
68;1;1;17;4;ab;2;3;15;6;12;9;8;7;11;18;10;13;19;14;16;5
69;0;1;17;3;ab;15;2;14;5;10;8;7;6;12;18;9;11;19;13;16;4
70;0;1;17;3;ab;15;2;14;5;11;8;7;6;12;18;9;10;19;13;16;4
