Date;Open;High;Low;Close
08/14/2021;47545;48103;46201;46665
08/13/2021;44440;47775;43912;47545
08/12/2021;46340;46391;43844;44440
08/11/2021;45627;46752;45276;46340
08/10/2021;45482;46608;44695;45627
08/09/2021;43855;46431;42832;45482
08/08/2021;43945;45276;43331;43855
08/07/2021;42696;44557;42404;43945
08/06/2021;40908;43314;39942;42673
08/05/2021;39745;41367;37454;40908
08/04/2021;38113;39851;37558;39706
08/03/2021;38861;39773;37768;38113
08/02/2021;41310;41313;38720;38857
08/01/2021;41516;42551;40694;41310
07/31/2021;40860;42247;40693;41516
07/30/2021;39722;41290;38389;40860
07/29/2021;40068;40630;39337;39722
07/28/2021;38000;40830;37988;40068
07/27/2021;37598;38732;36453;38000
07/26/2021;34481;40502;34455;37598
07/25/2021;33919;34800;33851;34481
07/24/2021;32477;34518;32476;33919
07/23/2021;32257;32879;32038;32477
07/22/2021;31864;32597;31716;32257
07/21/2021;29864;32800;29513;31864
07/20/2021;30793;31004;29336;29864
07/19/2021;31663;31920;30568;30793
07/18/2021;31755;32404;31159;31663
07/17/2021;31850;31932;31224;31755
07/16/2021;31748;32233;31085;31850
07/15/2021;32811;33162;31174;31748
07/14/2021;32519;33066;31628;32811
07/13/2021;32833;33315;32239;32519
07/12/2021;33859;34611;32660;32833
07/11/2021;33329;34077;33279;33859
07/10/2021;33508;34229;33098;33329
07/09/2021;32788;33667;32302;33508
07/08/2021;34550;34550;32142;32788
07/07/2021;33941;35040;33724;34550
07/06/2021;33847;35058;33601;33941
07/05/2021;35542;35945;33171;33847
07/04/2021;34715;35679;34297;35542
07/03/2021;33124;34926;33106;34715
07/02/2021;33411;33955;32747;33124
07/01/2021;34585;35203;32819;33411
06/30/2021;36156;36301;34075;34585
06/29/2021;34682;36548;34142;36156
06/28/2021;32648;35224;32493;34721
06/27/2021;31315;33555;30968;32648
06/26/2021;32212;32638;30190;31329
06/25/2021;34858;35496;31508;32212
06/24/2021;33066;35228;32364;34857
06/23/2021;32895;34789;31772;33066
06/22/2021;32622;33240;29002;32895
06/21/2021;35853;35905;31822;32622
06/20/2021;36193;36193;33400;35853
06/19/2021;35493;36396;34888;36193
06/18/2021;37752;38186;35204;35493
06/17/2021;38550;39510;37448;37752
06/16/2021;39943;40473;38364;38550
06/15/2021;39836;41289;39612;39949
06/14/2021;40926;40926;39382;39809
06/13/2021;36041;38830;34982;38830
06/12/2021;37331;37342;35509;36041
06/11/2021;36410;37537;36217;37331
06/10/2021;36387;38389;35850;36410
06/09/2021;33625;36825;32466;36406
06/08/2021;34454;34630;31101;33638
06/07/2021;35938;36767;34155;34471
06/06/2021;35857;36454;34874;35897
06/05/2021;37071;37942;35396;35826
06/04/2021;38691;39277;35626;37071
06/03/2021;37739;39469;37249;38693
06/02/2021;36313;38213;35976;37739
06/01/2021;36677;37852;35792;36330
05/31/2021;36080;37465;34230;36677
05/30/2021;34266;36354;33554;36115
05/29/2021;35260;37236;33687;34266
05/28/2021;38476;39189;35201;35245
05/27/2021;38756;40401;37266;38476
05/26/2021;37656;40859;37526;38731
05/25/2021;39067;39845;36553;37656
05/24/2021;33791;39831;33715;38999
05/23/2021;38093;38397;31228;33791
05/22/2021;35250;38800;33623;38086
05/21/2021;40108;42124;35263;35263
05/20/2021;38468;42569;35132;40108
05/19/2021;43367;43569;30445;38390
05/18/2021;44853;45816;42539;43318
05/17/2021;44062;46552;42162;44843
05/16/2021;48266;49812;43893;44062
05/15/2021;49351;50661;47128;48255
05/14/2021;49253;51543;48528;49351
05/13/2021;54540;54820;46710;49253
05/12/2021;56942;57977;53646;54540
05/11/2021;55328;56949;54612;56942
05/10/2021;58001;59552;54000;55328
05/09/2021;59014;59318;56530;57982
05/08/2021;57713;59556;56915;59014
05/07/2021;55987;58683;55350;57699
05/06/2021;56863;58334;55427;55987
05/05/2021;54842;57909;53058;56854
05/04/2021;56821;57465;53330;54842
05/03/2021;57016;58973;56306;56826
05/02/2021;57685;57948;56130;57016
05/01/2021;56812;58459;56726;57700
04/30/2021;52991;57295;52871;56803
04/29/2021;54456;55191;52408;53006
04/28/2021;55180;56369;53913;54456
04/27/2021;53297;55289;52689;55067
04/26/2021;48065;54363;47110;53297
04/25/2021;50955;51113;48075;48075
04/24/2021;50556;51215;48821;50955
04/23/2021;51597;52220;47657;50620
04/22/2021;55029;55410;51515;51843
04/21/2021;56781;57079;54346;55029
04/20/2021;56175;57035;53463;56852
04/19/2021;56231;57554;54305;56175
04/18/2021;60843;60966;51907;56239
04/17/2021;61977;62490;59747;60843
04/16/2021;63381;63769;60081;61962
04/15/2021;62403;63649;62034;63381
04/14/2021;63196;64788;61368;62357
04/13/2021;60000;63621;59783;63196
04/12/2021;59607;61224;59429;60011
04/11/2021;58606;60649;58599;59607
04/10/2021;58354;61197;57876;58621
04/09/2021;57677;58879;57473;58354
04/08/2021;56221;58134;55752;57681
04/07/2021;58244;58624;55494;56157
04/06/2021;58800;59469;57391;58244
04/05/2021;58030;59231;56886;58810
04/04/2021;58038;58463;56504;58030
04/03/2021;58655;59797;57848;58063
04/02/2021;58862;60118;58526;58655
04/01/2021;58932;59441;58021;58855
03/31/2021;58671;59831;57054;58932
03/30/2021;57250;59408;57078;58671
03/29/2021;54863;58335;54830;57176
03/28/2021;55909;56616;54740;54863
03/27/2021;54014;56254;53986;55916
03/26/2021;51989;54262;51309;54014
03/25/2021;54175;54175;50485;51989
03/24/2021;54445;57159;53294;54175
03/23/2021;54610;55816;53100;54346
03/22/2021;57788;58373;54316;54610
03/21/2021;58466;58792;55578;57792
03/20/2021;58404;59909;57890;58466
03/19/2021;57533;59436;56303;58426
03/18/2021;57706;60040;57145;57533
03/17/2021;56392;58197;54298;57834
03/16/2021;56398;56952;53311;56379
03/15/2021;60259;60738;55030;56398
03/14/2021;61002;61674;59348;60173
03/13/2021;56990;61732;56144;61002
03/12/2021;57721;58118;55160;56981
03/11/2021;56954;57918;54416;57721
03/10/2021;54313;57357;53235;56932
03/09/2021;51883;54818;51448;54313
03/08/2021;50104;51949;49368;51896
03/07/2021;48592;51343;48552;50104
03/06/2021;49138;49391;47147;48583
03/05/2021;47917;49442;46472;49138
03/04/2021;50952;51777;47555;47924
03/03/2021;47466;52564;47422;50952
03/02/2021;48844;50200;47144;47477
03/01/2021;45254;49412;44970;48844
02/28/2021;46844;46859;43197;45255
02/27/2021;45680;48321;45118;46844
02/26/2021;48199;48821;44246;45621
02/25/2021;48720;52054;48119;48199
02/24/2021;48084;51337;47039;48720
02/23/2021;54919;55032;45212;48016
02/22/2021;57332;57616;48034;54919
02/21/2021;56523;58315;54040;57332
02/20/2021;55493;57485;55101;56501
02/19/2021;52051;56211;50880;55493
02/18/2021;52333;52524;51023;52059
