;sc;HAM;VET;BOT;RAI;VER;RIC;MAS;PER;OCO;HUL;KVY;ALO;SAI;GRO;PAL;VAN;STR;MAG;ERI;WEH
60;0;1;6;2;7;ab;3;ab;4;5;8;ab;10;ab;11;12;15;9;13;14;16
61;0;1;6;2;7;ab;3;ab;4;5;8;ab;10;ab;11;12;15;9;13;14;16
62;0;1;6;2;7;ab;3;ab;4;5;8;ab;10;ab;11;12;15;9;13;14;16
63;0;1;6;2;7;ab;3;ab;4;5;8;ab;10;ab;11;12;15;9;13;14;16
64;0;1;6;2;7;ab;3;ab;4;5;8;ab;10;ab;11;12;15;9;13;14;16
65;0;1;5;2;7;ab;3;ab;4;6;8;ab;10;ab;11;12;15;9;13;14;16
66;0;1;5;2;7;ab;3;ab;4;6;8;ab;16;ab;10;11;14;9;12;13;15
67;0;1;4;2;7;ab;3;ab;5;6;8;ab;16;ab;10;11;14;9;12;13;15
68;0;1;4;2;7;ab;3;ab;5;6;8;ab;16;ab;10;11;14;9;12;13;15
69;0;1;4;2;7;ab;3;ab;5;6;8;ab;16;ab;10;11;14;9;12;13;15
