;sc;VET;ALO;MAS;WEB;BUT;HAM;KUB;BAR;ROS;HUL;MSC;KOB;PET;DLR;ALG;BUE;TRU;KOV;SUT;SEN;LIU;YAM;GLO;DGR
22;0;3;2;1;6;5;4;11;14;7;9;12;13;8;10;15;ab;ab;16;17;21;20;ab;19;18
23;0;3;2;1;6;5;4;10;14;7;8;11;13;12;9;15;ab;ab;17;16;21;20;ab;19;18
24;0;3;2;1;6;5;4;9;14;10;7;11;13;12;8;15;ab;ab;20;16;21;18;ab;19;17
25;0;3;2;1;6;5;4;9;14;10;7;11;13;12;8;16;ab;ab;20;15;21;18;ab;19;17
26;0;3;2;1;6;5;4;9;14;10;7;11;13;12;8;16;ab;ab;20;15;21;18;ab;19;17
27;0;3;2;1;6;5;4;9;14;10;7;11;13;12;8;16;ab;ab;20;15;21;17;ab;19;18
28;0;3;2;1;6;5;4;9;14;10;7;11;13;12;8;16;ab;ab;20;15;21;17;ab;19;18
29;0;3;2;1;6;5;4;9;14;10;7;11;13;12;8;16;ab;ab;20;15;21;17;ab;19;18
30;0;3;2;1;6;5;4;9;14;10;7;11;13;12;8;16;ab;ab;20;15;21;17;ab;19;18
31;0;3;2;1;6;5;4;9;14;10;7;11;13;12;8;16;ab;ab;20;15;21;17;ab;19;18
32;0;3;2;1;6;5;4;9;14;10;7;11;13;12;8;16;ab;ab;20;15;21;17;ab;19;18
33;0;3;2;1;6;5;4;8;14;9;10;11;13;12;7;15;ab;ab;20;16;21;17;ab;19;18
34;0;3;2;1;6;5;4;8;13;9;14;10;12;11;7;15;ab;ab;20;17;21;16;ab;19;18
35;0;3;2;1;6;5;4;8;13;9;14;10;12;11;7;15;ab;ab;20;17;21;16;ab;19;18
36;0;3;2;1;6;5;4;8;13;9;14;10;12;11;7;15;ab;ab;20;17;21;16;ab;19;18
37;0;3;2;1;6;5;4;8;13;9;14;10;12;11;7;15;ab;ab;20;17;21;16;ab;19;18
38;0;3;2;1;6;5;4;8;13;9;14;10;12;11;7;15;ab;ab;20;17;21;16;ab;19;18
39;0;3;2;1;6;5;4;8;13;9;14;10;12;11;7;15;ab;ab;20;17;21;16;ab;19;18
40;0;3;2;1;6;5;4;8;13;9;14;10;12;11;7;15;ab;ab;20;17;21;16;ab;19;18
41;0;3;2;1;6;5;4;8;13;9;14;10;12;11;7;15;ab;ab;20;17;21;16;ab;19;18
42;0;3;2;1;6;5;4;8;13;9;14;10;12;11;7;15;ab;ab;20;17;21;16;ab;19;18
43;0;3;2;1;6;5;4;8;13;9;14;10;12;11;7;15;ab;ab;20;17;21;16;ab;19;18
44;0;3;2;1;6;5;4;8;13;9;14;10;12;11;7;15;ab;ab;20;17;21;16;ab;19;18
45;0;3;2;1;6;5;4;8;13;9;14;10;12;11;7;15;ab;ab;20;17;21;16;ab;19;18
46;0;3;2;1;6;5;4;8;13;9;14;10;12;11;7;15;ab;ab;20;17;21;16;ab;19;18
47;0;3;2;1;6;5;4;8;13;9;14;10;12;11;7;15;ab;ab;20;17;21;16;ab;19;18
48;0;3;1;2;6;5;4;8;13;9;14;10;12;11;7;15;ab;ab;20;17;21;16;ab;19;18
49;0;3;1;2;6;5;4;8;13;9;14;10;12;11;7;15;ab;ab;19;17;20;16;ab;18;21
50;0;3;1;2;6;5;4;7;13;9;14;10;12;11;8;15;ab;ab;19;17;20;16;ab;18;ab
51;0;3;1;2;6;5;4;7;12;8;13;9;11;10;14;15;ab;ab;19;17;20;16;ab;18;ab
52;0;3;1;2;6;5;4;7;12;8;14;9;11;10;13;15;ab;ab;18;17;20;16;ab;19;ab
53;0;3;1;2;6;5;4;7;12;8;14;9;11;10;13;15;ab;ab;18;17;20;16;ab;19;ab
54;0;3;1;2;6;5;4;7;12;8;14;9;11;10;13;15;ab;ab;18;17;20;16;ab;19;ab
55;0;3;1;2;6;5;4;7;12;8;14;9;11;10;13;15;ab;ab;20;17;19;16;ab;18;ab
56;0;3;1;2;6;5;4;7;12;8;14;9;11;10;13;15;ab;ab;ab;17;19;16;ab;18;ab
57;0;3;1;2;6;5;4;7;12;8;13;9;11;10;14;15;ab;ab;ab;17;19;16;ab;18;ab
58;0;3;1;2;6;5;4;7;12;8;13;9;11;10;14;15;ab;ab;ab;17;19;16;ab;18;ab
59;0;3;1;2;6;5;4;7;12;8;13;9;11;10;14;15;ab;ab;ab;17;19;16;ab;18;ab
60;0;3;1;2;6;5;4;7;12;8;13;9;11;10;14;15;ab;ab;ab;17;19;16;ab;18;ab
61;0;3;1;2;6;5;4;7;12;8;13;9;11;10;14;15;ab;ab;ab;17;19;16;ab;18;ab
62;0;3;1;2;6;5;4;7;12;8;13;9;11;10;14;15;ab;ab;ab;17;19;16;ab;18;ab
63;0;3;1;2;6;5;4;7;12;8;13;9;11;10;14;15;ab;ab;ab;17;19;16;ab;18;ab
64;0;3;1;2;6;5;4;7;12;8;13;9;11;10;14;15;ab;ab;ab;17;19;16;ab;18;ab
65;0;3;1;2;6;5;4;7;12;8;13;9;11;10;14;15;ab;ab;ab;17;19;16;ab;18;ab
66;0;3;1;2;6;5;4;7;12;8;13;9;11;10;14;15;ab;ab;ab;17;19;16;ab;18;ab
