;sc;VET;WEB;ALO;BUT;MAS;ROS;MSC;BAR;KUB;SUT;HAM;BUE;LIU;DLR;HUL;KOB;ALG;PET;KOV;TRU;GLO;DGR;SEN;CHA
45;0;ab;6;4;1;3;7;12;10;2;ab;5;ab;8;9;ab;ab;11;ab;13;np;ab;ab;ab;14
46;0;ab;6;4;1;3;7;12;10;2;ab;5;ab;8;9;ab;ab;11;ab;13;np;ab;ab;ab;14
47;0;ab;6;4;1;3;7;12;10;2;ab;5;ab;8;9;ab;ab;11;ab;13;np;ab;ab;ab;14
48;0;ab;6;4;1;3;7;12;10;2;ab;5;ab;8;9;ab;ab;11;ab;13;np;ab;ab;ab;14
49;0;ab;6;4;1;3;7;12;10;2;ab;5;ab;8;9;ab;ab;11;ab;13;np;ab;ab;ab;14
50;0;ab;6;4;1;3;7;12;9;2;ab;5;ab;8;10;ab;ab;11;ab;13;np;ab;ab;ab;14
51;0;ab;6;4;1;3;7;12;9;2;ab;5;ab;8;10;ab;ab;11;ab;13;np;ab;ab;ab;14
52;0;ab;6;4;1;3;7;11;9;2;ab;5;ab;8;10;ab;ab;12;ab;13;np;ab;ab;ab;14
53;0;ab;6;4;1;3;7;11;9;2;ab;5;ab;8;10;ab;ab;12;ab;13;np;ab;ab;ab;14
54;0;ab;6;4;1;3;7;11;9;2;ab;5;ab;8;10;ab;ab;12;ab;13;np;ab;ab;ab;14
55;0;ab;8;4;1;3;5;11;9;2;ab;6;ab;7;10;ab;ab;12;ab;13;np;ab;ab;ab;14
56;0;ab;9;4;1;3;5;10;8;2;ab;6;ab;7;12;ab;ab;11;ab;13;np;ab;ab;ab;14
57;0;ab;9;4;1;3;5;10;8;2;ab;6;ab;7;12;ab;ab;11;ab;13;np;ab;ab;ab;14
