;sc;VET;WEB;ALO;HAM;ROS;KUB;MAS;BAR;DLR;MSC;SUT;KOB;HUL;BUT;PET;BUE;ALG;KOV;GLO;LIU;TRU;DGR;CHA;YAM
34;0;11;1;15;2;3;ab;13;5;ab;8;7;6;9;4;10;16;12;19;18;14;17;ab;20;21
35;0;11;1;15;2;3;ab;13;5;ab;8;7;6;9;4;10;16;12;19;18;14;17;ab;20;21
36;0;10;1;15;2;3;ab;13;5;ab;8;7;6;9;4;11;16;12;19;18;14;17;ab;20;21
37;0;9;1;15;2;3;ab;13;5;ab;8;7;6;10;4;11;16;12;19;18;14;17;ab;20;21
38;0;9;1;14;2;3;ab;16;5;ab;8;7;6;10;4;11;15;12;19;18;13;17;ab;20;21
39;0;8;1;13;2;3;ab;16;5;ab;9;7;6;10;4;14;15;11;19;18;12;17;ab;20;21
40;0;8;1;13;2;3;ab;16;5;ab;9;7;6;10;4;15;14;11;19;18;12;17;ab;20;21
41;0;8;1;13;2;3;ab;16;5;ab;9;7;6;10;4;15;14;11;19;18;12;17;ab;20;21
42;0;8;1;13;2;3;ab;16;5;ab;9;7;6;10;4;15;14;11;19;18;12;17;ab;20;21
43;0;8;1;13;2;3;ab;16;5;ab;9;7;6;10;4;15;14;11;19;18;12;17;ab;20;21
44;0;8;1;12;2;3;ab;15;5;ab;9;7;6;10;4;14;13;ab;18;17;11;16;ab;19;20
45;0;8;1;12;2;3;ab;15;5;ab;9;7;6;10;4;14;13;ab;17;18;11;16;ab;19;20
46;0;8;1;12;2;3;ab;15;5;ab;9;7;6;10;4;14;13;ab;17;18;11;16;ab;19;20
47;0;8;1;12;2;3;ab;15;5;ab;9;7;6;10;4;14;13;ab;17;18;11;16;ab;19;20
48;0;8;1;12;2;3;ab;15;5;ab;9;7;6;10;4;14;13;ab;17;18;11;16;ab;19;20
49;0;8;1;14;2;3;ab;15;5;ab;9;7;6;10;4;13;12;ab;17;18;11;16;ab;19;20
50;0;7;1;14;2;3;ab;15;5;ab;9;8;6;10;4;13;12;ab;17;18;11;16;ab;19;ab
51;0;7;1;14;2;3;ab;15;5;ab;9;8;6;10;4;13;12;ab;17;18;11;16;ab;19;ab
