;sc;WEB;HAM;VET;BUT;MSC;ROS;KUB;MAS;PET;KOB;SUT;ALO;DLR;BUE;BAR;ALG;HUL;LIU;TRU;KOV;GLO;SEN;DGR;CHA
32;0;1;3;2;4;5;6;7;8;9;11;12;10;13;18;16;14;17;15;ab;19;20;21;22;23
33;0;1;3;2;4;5;6;7;8;9;11;12;10;13;18;16;14;17;15;ab;ab;19;20;22;21
34;0;1;3;2;4;5;6;7;8;9;11;12;10;13;18;16;14;17;15;ab;ab;19;20;22;21
35;0;1;3;2;4;5;6;7;8;9;11;12;10;13;18;16;14;17;15;ab;ab;19;20;22;21
36;0;1;3;2;4;5;6;7;8;9;11;12;10;13;18;16;14;17;15;ab;ab;19;20;22;21
37;0;1;3;2;4;5;6;7;8;9;11;12;10;13;17;16;14;18;15;ab;ab;19;20;22;21
38;0;1;3;2;4;5;6;7;8;9;11;12;10;13;17;16;14;18;15;ab;ab;19;20;22;21
39;0;3;1;ab;2;4;5;6;7;8;10;11;9;12;16;15;13;17;14;ab;ab;18;19;21;20
40;0;3;1;ab;2;4;5;6;7;8;10;11;9;12;16;15;13;17;14;ab;ab;18;19;21;20
41;0;3;1;ab;2;4;5;6;7;8;10;11;9;12;16;15;13;17;14;ab;ab;18;19;21;20
42;0;3;1;ab;2;4;5;6;7;8;10;11;9;12;16;15;13;17;14;ab;ab;18;19;21;20
43;0;3;1;ab;2;4;5;6;7;8;10;11;9;12;16;15;13;17;14;ab;ab;18;19;21;20
44;0;3;1;ab;2;4;5;6;7;8;10;11;9;12;17;15;13;16;14;ab;ab;18;20;21;19
45;0;3;1;ab;2;4;5;6;7;8;10;11;9;12;17;15;13;16;14;ab;ab;18;21;20;19
46;0;3;1;ab;2;4;5;6;7;8;10;11;9;12;17;15;13;16;14;ab;ab;18;ab;20;19
47;0;3;2;ab;1;4;5;6;7;8;10;11;9;12;16;15;13;17;14;ab;ab;18;ab;20;19
48;0;3;1;ab;2;4;5;6;7;8;10;11;9;12;16;15;13;17;14;ab;ab;18;ab;20;19
49;0;3;1;ab;2;4;5;6;7;8;11;10;9;12;16;15;13;17;14;ab;ab;18;ab;20;19
50;0;3;1;ab;2;4;5;6;7;8;11;10;9;12;16;15;13;17;14;ab;ab;18;ab;20;19
51;0;3;1;ab;2;4;5;6;7;8;11;10;9;12;16;15;13;17;14;ab;ab;18;ab;19;20
52;0;3;1;ab;2;4;5;6;7;8;11;10;9;12;16;15;13;17;14;ab;ab;18;ab;19;20
53;0;3;1;ab;2;4;5;6;7;15;10;9;8;11;16;14;12;17;13;ab;ab;18;ab;19;20
54;0;3;1;ab;2;4;5;6;7;15;10;9;8;11;16;14;12;17;13;ab;ab;18;ab;19;20
55;0;3;1;ab;2;4;5;6;7;15;10;9;8;11;16;14;12;17;13;ab;ab;18;ab;19;20
56;0;3;1;ab;2;4;5;6;7;15;10;9;8;11;16;14;12;17;13;ab;ab;18;ab;19;20
57;0;3;1;ab;2;4;5;6;7;15;10;9;8;11;16;14;12;17;13;ab;ab;18;ab;19;20
