;sc;BAR;WEB;SUT;TRU;RAI;BUE;ROS;KUB;NAK;ALO;KOB;ALG;GRO;BUT;VET;KOV;HAM;HEI;FIS2;LIU
47;0;2;1;ab;ab;10;6;ab;3;ab;ab;8;13;11;4;5;9;7;ab;12;14
48;0;2;1;ab;ab;10;6;ab;3;ab;ab;8;13;11;4;5;9;7;ab;12;14
49;0;2;1;ab;ab;10;6;ab;3;ab;ab;8;14;11;4;5;9;7;ab;12;13
50;0;6;1;ab;ab;10;5;ab;2;ab;ab;8;14;11;3;4;9;7;ab;12;13
51;0;6;1;ab;ab;10;5;ab;2;ab;ab;8;14;11;3;4;9;7;ab;12;13
52;0;6;1;ab;ab;10;5;ab;2;ab;ab;8;14;11;3;4;9;7;ab;12;13
53;0;6;1;ab;ab;10;5;ab;2;ab;ab;8;14;11;3;4;9;7;ab;12;13
54;0;5;1;ab;ab;9;10;ab;2;ab;ab;7;14;11;4;3;8;6;ab;12;13
55;0;4;1;ab;ab;9;10;ab;2;ab;ab;8;14;13;7;3;6;5;ab;11;12
56;0;3;1;ab;ab;8;9;ab;2;ab;ab;11;14;13;7;5;6;4;ab;10;12
57;0;3;1;ab;ab;8;9;ab;2;ab;ab;11;14;13;7;5;6;4;ab;10;12
58;0;3;1;ab;ab;8;9;ab;2;ab;ab;11;14;13;6;5;7;4;ab;10;12
59;0;3;1;ab;ab;7;8;ab;2;ab;ab;11;14;13;6;5;9;4;ab;10;12
60;0;3;1;ab;ab;7;8;ab;2;ab;ab;11;14;13;6;5;9;4;ab;10;12
61;0;4;1;ab;ab;7;8;ab;2;ab;ab;11;14;13;6;5;9;3;ab;10;12
62;0;5;1;ab;ab;7;8;ab;2;ab;ab;11;14;13;6;4;9;3;ab;10;12
63;0;8;1;ab;ab;6;7;ab;2;ab;ab;11;14;13;5;4;9;3;ab;10;12
64;0;8;1;ab;ab;6;7;ab;2;ab;ab;11;14;13;5;4;9;3;ab;10;12
65;0;8;1;ab;ab;6;7;ab;2;ab;ab;11;14;13;5;4;9;3;ab;10;12
66;0;8;1;ab;ab;6;7;ab;2;ab;ab;10;14;13;5;4;9;3;ab;11;12
67;0;8;1;ab;ab;6;7;ab;2;ab;ab;10;14;13;5;4;9;3;ab;11;12
68;0;8;1;ab;ab;6;7;ab;2;ab;ab;10;14;13;5;4;9;3;ab;11;12
69;0;8;1;ab;ab;6;7;ab;2;ab;ab;10;14;13;5;4;9;3;ab;11;12
70;0;8;1;ab;ab;6;7;ab;2;ab;ab;10;14;ab;5;4;9;3;ab;11;12
