;sc;HAM;ROS;RIC;VET;ALO;MAS;RAI;BOT;MAG;KVY;BUT;VER;HUL;GUT;PER;GRO;SUT;MAL;BIA;KOB;CHI;ERI
36;1;1;ab;3;2;4;5;8;6;10;11;7;9;12;ab;17;13;14;15;16;np;19;18
37;0;1;ab;3;2;4;5;8;6;10;11;7;9;12;ab;17;15;13;14;16;np;19;18
38;0;1;ab;3;2;4;5;8;6;10;11;7;9;12;ab;16;15;13;14;17;np;19;18
39;0;1;ab;3;2;4;5;8;6;10;11;7;9;12;ab;15;14;16;13;17;np;19;18
40;0;1;ab;3;2;4;5;8;6;10;11;7;9;12;ab;15;14;ab;13;16;np;18;17
41;0;1;ab;3;2;4;5;8;6;10;11;7;9;12;ab;15;14;ab;13;16;np;18;17
42;0;1;ab;3;2;4;5;8;6;10;15;7;9;11;ab;14;13;ab;12;16;np;18;17
43;0;1;ab;3;2;4;5;8;6;9;17;7;12;10;ab;14;13;ab;11;15;np;18;16
44;0;1;ab;3;2;4;5;8;6;9;16;7;14;10;ab;17;12;ab;11;15;np;18;13
45;0;1;ab;3;2;4;5;8;6;12;15;7;13;9;ab;16;11;ab;10;17;np;18;14
46;0;1;ab;3;2;4;5;8;6;14;15;7;12;9;ab;16;11;ab;10;17;np;18;13
47;0;1;ab;3;2;4;5;8;6;13;15;7;12;9;ab;14;11;ab;10;17;np;18;16
48;0;1;ab;3;2;4;5;8;6;13;15;7;12;9;ab;14;11;ab;10;17;np;18;16
49;0;1;ab;3;2;4;5;8;6;13;15;7;12;9;ab;14;11;ab;10;17;np;18;16
50;0;1;ab;3;2;4;5;8;6;13;15;7;12;9;ab;14;11;ab;10;17;np;18;16
51;0;1;ab;3;2;4;5;8;6;13;15;7;11;9;ab;14;12;ab;10;17;np;18;16
52;0;2;ab;3;1;4;5;7;6;11;14;ab;9;8;ab;13;12;ab;10;16;np;17;15
53;0;1;ab;3;2;4;5;7;6;11;14;ab;9;8;ab;13;12;ab;10;16;np;17;15
54;0;1;ab;3;2;4;5;7;6;10;14;ab;9;8;ab;12;13;ab;11;16;np;17;15
55;0;1;ab;3;2;4;5;7;6;10;14;ab;9;8;ab;11;13;ab;12;16;np;17;15
56;0;1;ab;3;2;4;5;7;6;10;14;ab;9;8;ab;11;13;ab;12;16;np;17;15
57;0;1;ab;3;2;4;5;7;6;10;14;ab;8;9;ab;11;13;ab;12;16;np;17;15
58;0;1;ab;3;2;4;5;8;7;11;14;ab;6;10;ab;9;13;ab;12;16;np;17;15
59;0;1;ab;3;2;4;5;8;11;10;14;ab;6;9;ab;7;13;ab;12;16;np;17;15
