;sc;ROS;VET;BOT;RIC;ALO;MAS;BUT;VER;HUL;KVY;SUT;PER;GUT;GRO;BIA;RAI;KOB;CHI;ERI;MAL;MAG;HAM
39;0;6;9;7;1;4;2;11;10;ab;16;12;ab;ab;ab;14;3;ab;15;ab;8;13;5
40;0;6;9;7;1;3;2;11;10;ab;15;12;ab;ab;ab;14;4;ab;16;ab;8;13;5
41;0;5;9;6;1;3;2;11;10;ab;14;12;ab;ab;ab;15;8;ab;16;ab;7;13;4
42;0;5;8;6;1;3;2;11;9;ab;14;12;ab;ab;ab;16;7;ab;15;ab;10;13;4
43;0;5;8;6;1;3;2;10;9;ab;13;11;ab;ab;ab;16;7;ab;15;ab;14;12;4
44;0;5;8;6;1;2;3;10;9;ab;13;11;ab;ab;ab;16;7;ab;15;ab;14;12;4
45;0;4;8;5;1;2;6;10;9;ab;13;11;ab;ab;ab;15;7;ab;16;ab;14;12;3
46;0;4;8;5;1;2;6;10;9;ab;13;11;ab;ab;ab;15;7;ab;16;ab;14;12;3
47;0;4;8;5;1;2;6;10;9;ab;13;11;ab;ab;ab;15;7;ab;16;ab;14;12;3
48;0;4;8;5;1;2;6;10;9;ab;13;11;ab;ab;ab;15;7;ab;16;ab;14;12;3
49;0;4;8;5;1;2;6;10;9;ab;13;11;ab;ab;ab;15;7;ab;16;ab;14;12;3
50;0;4;8;5;1;2;6;10;9;ab;13;11;ab;ab;ab;15;7;ab;16;ab;14;12;3
51;0;4;8;5;1;2;6;10;9;ab;13;11;ab;ab;ab;15;7;ab;16;ab;14;12;3
52;0;4;8;5;1;2;6;10;9;ab;13;11;ab;ab;ab;15;7;ab;16;ab;14;12;3
53;0;4;8;5;1;2;6;10;9;ab;13;11;ab;ab;ab;15;7;ab;16;ab;14;12;3
54;0;3;8;5;4;1;6;10;9;ab;13;11;ab;ab;ab;15;7;ab;16;ab;14;12;2
55;0;4;8;5;3;1;6;10;9;ab;13;11;ab;ab;ab;15;7;ab;16;ab;14;12;2
56;0;7;8;4;3;1;5;10;9;ab;13;11;ab;ab;ab;15;6;ab;16;ab;14;12;2
57;0;7;8;4;3;1;5;10;9;ab;13;11;ab;ab;ab;15;6;ab;16;ab;14;12;2
58;0;6;8;7;3;1;4;10;9;ab;13;11;ab;ab;ab;15;5;ab;16;ab;14;12;2
59;0;5;7;8;3;1;4;10;9;ab;13;11;ab;ab;ab;15;6;ab;16;ab;14;12;2
60;0;4;7;8;3;1;5;10;9;ab;14;11;ab;ab;ab;15;6;ab;16;ab;13;12;2
61;0;4;7;8;3;1;5;10;9;ab;14;11;ab;ab;ab;15;6;ab;16;ab;13;12;2
62;0;4;7;8;3;1;5;10;9;ab;14;11;ab;ab;ab;15;6;ab;16;ab;13;12;2
63;0;4;7;8;3;1;5;10;9;ab;14;11;ab;ab;ab;15;6;ab;16;ab;13;12;2
64;0;4;7;8;3;1;5;10;9;ab;14;11;ab;ab;ab;15;6;ab;16;ab;13;12;2
65;0;4;7;8;3;1;5;10;9;ab;14;11;ab;ab;ab;15;6;ab;16;ab;13;12;2
66;0;4;7;8;2;1;5;10;9;ab;14;11;ab;ab;ab;15;6;ab;16;ab;13;12;3
67;0;4;7;8;1;2;5;10;9;ab;14;11;ab;ab;ab;15;6;ab;16;ab;13;12;3
68;0;4;7;8;1;2;5;10;9;ab;14;11;ab;ab;ab;15;6;ab;16;ab;13;12;3
69;0;4;7;8;1;2;5;10;9;ab;14;11;ab;ab;ab;15;6;ab;16;ab;13;12;3
