;sc;BAR;MSC;RSC;MON;FIS;TRU;MAS;HEI;BUT;COU;RAI;PAN;VIL;SAT;DLR;IRV;SAL;MCN;WEB;DAV
49;0;1;2;3;10;4;8;5;9;ab;7;6;11;ab;12;14;ab;13;15;16;17
50;0;1;2;3;10;6;8;4;9;ab;7;5;11;ab;12;14;ab;13;15;16;17
51;0;1;2;3;10;9;7;4;8;ab;6;5;11;ab;12;14;ab;13;15;16;17
52;0;1;2;3;10;9;7;6;8;ab;5;4;11;ab;12;14;ab;13;15;16;17
53;0;1;2;3;10;8;6;9;7;ab;5;4;11;ab;12;14;ab;13;15;16;17
54;0;1;2;3;9;6;8;7;10;ab;5;4;11;ab;12;14;ab;13;15;16;17
55;0;1;2;3;11;6;8;7;9;ab;5;4;12;ab;10;14;ab;13;15;16;17
56;0;1;2;3;11;6;8;7;9;ab;5;4;12;ab;10;14;ab;13;15;16;17
57;0;1;2;3;11;6;8;7;9;ab;5;4;12;ab;10;14;ab;13;15;16;17
58;0;1;2;3;11;6;8;7;9;ab;5;4;12;ab;10;14;ab;13;15;16;ab
59;0;1;2;3;11;6;8;7;9;ab;5;4;12;ab;10;14;ab;13;15;16;ab
60;0;1;2;3;11;6;8;7;9;ab;5;4;12;ab;10;14;ab;13;15;16;ab
61;0;1;2;3;11;6;8;7;9;ab;5;4;12;ab;10;14;ab;13;15;16;ab
62;0;1;2;3;11;6;8;7;9;ab;5;4;12;ab;10;14;ab;13;15;16;ab
63;0;1;2;3;11;6;8;7;9;ab;5;4;12;ab;10;14;ab;13;15;16;ab
64;0;1;2;3;11;6;8;7;9;ab;5;4;12;ab;10;14;ab;13;15;16;ab
65;0;1;2;3;11;6;8;7;9;ab;5;4;12;ab;10;14;ab;13;15;16;ab
66;0;1;2;3;11;6;8;7;9;ab;5;4;12;ab;10;14;ab;13;15;16;ab
67;0;1;2;3;11;6;8;7;9;ab;5;4;12;ab;10;14;ab;13;15;16;ab
68;0;1;2;3;11;6;8;7;9;ab;5;4;12;ab;10;14;ab;13;15;16;ab
69;0;1;2;3;11;6;8;7;9;ab;5;4;12;ab;10;14;ab;13;15;16;ab
70;0;1;2;3;11;6;8;7;9;ab;5;4;12;ab;10;14;ab;13;15;16;ab
71;0;1;2;3;11;6;8;7;9;ab;5;4;12;ab;10;14;ab;13;15;16;ab
72;0;1;2;3;11;6;8;7;9;ab;5;4;12;ab;10;14;ab;13;15;16;ab
73;0;1;2;3;11;6;8;7;9;ab;5;4;12;ab;10;14;ab;13;15;16;ab
74;0;1;2;3;11;6;8;7;9;ab;5;4;12;ab;10;14;ab;13;15;16;ab
75;0;1;2;3;11;6;8;7;9;ab;5;4;12;ab;10;13;ab;15;14;16;ab
76;0;1;2;3;11;6;8;7;9;ab;5;4;12;ab;10;13;ab;15;14;16;ab
