;sc;MON;MSC;BAR;RSC;RAI;FIS;HEI;COU;VIL;TRU;PAN;MAS;BUT;IRV;SAT;DLR;BER;SAL;FRE;MCN;WEB;YOO
25;0;2;1;5;4;3;8;7;6;ab;9;12;11;10;13;17;20;ab;19;15;14;16;18
26;0;2;1;6;4;3;8;7;5;ab;9;12;11;10;13;17;20;ab;19;15;14;16;18
27;0;2;1;6;4;3;8;7;5;ab;9;12;11;10;13;17;20;ab;19;15;14;16;18
28;0;2;1;6;4;3;8;7;5;ab;9;12;11;10;13;17;20;ab;19;15;14;16;18
29;0;2;1;6;4;3;8;7;5;ab;9;12;11;10;13;16;ab;ab;19;18;14;15;17
30;0;2;1;6;4;3;8;7;5;ab;9;12;11;10;13;16;ab;ab;19;18;14;15;17
31;0;2;1;6;4;3;8;7;5;ab;9;12;11;10;13;16;ab;ab;19;18;14;15;17
32;0;2;1;6;4;3;8;7;5;ab;9;12;11;10;13;16;ab;ab;19;18;14;15;17
33;0;2;1;6;4;3;8;7;5;ab;9;12;11;10;13;16;ab;ab;19;18;14;15;17
34;0;2;1;6;4;3;8;7;5;ab;9;12;11;10;13;16;ab;ab;19;18;14;15;17
35;0;2;1;6;4;3;8;7;5;ab;9;11;10;17;12;15;ab;ab;19;18;13;14;16
36;0;2;1;6;4;3;7;14;5;ab;8;10;9;16;11;15;ab;ab;19;18;12;13;17
37;0;1;2;6;4;3;7;15;5;ab;8;10;9;16;11;14;ab;ab;19;17;12;13;18
38;0;1;2;6;4;3;7;14;5;ab;8;10;9;15;11;13;ab;ab;19;17;12;16;18
39;0;1;2;6;4;3;7;12;5;ab;8;9;13;14;15;11;ab;ab;19;17;10;16;18
40;0;1;2;6;4;3;7;10;5;ab;8;12;11;13;14;9;ab;ab;18;16;19;15;17
41;0;1;2;5;7;3;6;10;4;ab;8;12;11;13;ab;9;ab;ab;ab;15;17;14;16
42;0;1;2;5;7;3;6;10;4;ab;8;12;11;13;ab;9;ab;ab;ab;15;17;14;16
43;0;1;2;5;10;3;6;11;4;ab;7;12;9;13;ab;8;ab;ab;ab;15;17;14;16
44;0;1;2;4;10;5;6;12;3;ab;7;11;9;13;ab;8;ab;ab;ab;15;17;14;16
45;0;1;2;4;9;5;6;11;3;ab;7;10;8;12;ab;13;ab;ab;ab;15;ab;14;16
46;0;1;2;4;9;5;6;11;3;ab;7;10;8;12;ab;13;ab;ab;ab;15;ab;14;16
47;0;1;2;4;8;5;6;10;3;ab;7;9;11;12;ab;13;ab;ab;ab;15;ab;14;16
48;0;1;2;3;8;5;6;10;4;ab;7;9;11;12;ab;13;ab;ab;ab;15;ab;14;16
49;0;1;2;3;8;5;6;10;4;ab;7;9;11;12;ab;13;ab;ab;ab;15;ab;14;16
50;0;3;1;2;8;5;6;14;4;ab;7;9;10;11;ab;12;ab;ab;ab;15;ab;13;16
51;0;3;1;2;8;5;6;14;4;ab;7;9;10;11;ab;12;ab;ab;ab;15;ab;13;16
52;0;3;1;2;8;5;6;14;4;ab;7;9;10;11;ab;12;ab;ab;ab;15;ab;13;16
53;0;2;1;3;8;5;6;14;4;ab;7;9;10;11;ab;12;ab;ab;ab;15;ab;13;16
54;0;2;1;4;8;5;6;14;3;ab;7;9;10;11;ab;12;ab;ab;ab;15;ab;13;16
55;0;2;1;4;8;5;6;14;3;ab;7;9;10;11;ab;12;ab;ab;ab;15;ab;13;16
56;0;ab;1;3;7;4;5;13;2;ab;6;8;9;10;ab;11;ab;ab;ab;14;ab;12;15
57;0;ab;1;3;7;4;5;13;2;ab;6;8;9;10;ab;11;ab;ab;ab;14;ab;12;15
58;0;ab;1;3;7;4;5;13;2;ab;6;8;9;10;ab;11;ab;ab;ab;14;ab;12;15
59;0;ab;1;3;7;4;5;13;2;ab;6;8;9;10;ab;11;ab;ab;ab;14;ab;12;15
60;0;ab;1;3;7;4;5;13;2;ab;6;8;9;10;ab;11;ab;ab;ab;14;ab;12;15
61;0;ab;1;3;7;4;5;13;2;ab;6;8;9;10;ab;11;ab;ab;ab;14;ab;12;15
62;0;ab;1;3;7;4;5;13;2;ab;6;8;9;10;ab;11;ab;ab;ab;14;ab;12;15
63;0;ab;1;3;7;4;5;13;2;ab;6;8;9;10;ab;11;ab;ab;ab;14;ab;12;15
64;0;ab;1;3;7;4;5;13;2;ab;6;8;9;10;ab;11;ab;ab;ab;14;ab;12;15
65;0;ab;1;3;7;4;5;12;2;ab;6;8;9;15;ab;10;ab;ab;ab;13;ab;11;14
66;0;ab;1;3;7;4;5;12;2;ab;6;8;9;15;ab;10;ab;ab;ab;13;ab;11;14
67;0;ab;1;3;7;4;5;12;2;ab;6;8;9;15;ab;10;ab;ab;ab;13;ab;11;14
68;0;ab;1;3;7;4;5;12;2;ab;6;8;9;15;ab;10;ab;ab;ab;13;ab;11;14
69;0;ab;1;3;7;4;5;12;2;ab;6;8;9;15;ab;10;ab;ab;ab;13;ab;11;14
