;sc;RIC;VET;HAM;RAI;BOT;OCO;ALO;SAI;PER;GAS;HUL;VAN;SIR;LEC;HAR;ERI;STR;GRO;MAG;VER
25;0;1;2;3;4;5;8;9;11;15;6;7;17;19;13;12;14;20;18;16;10
26;0;1;2;3;4;5;8;9;11;15;6;7;17;19;13;12;14;20;18;16;10
27;0;1;2;3;4;5;8;9;11;15;6;7;17;19;13;12;14;20;18;16;10
28;0;1;2;3;4;5;8;9;11;15;6;7;17;19;13;12;14;20;18;16;10
29;0;1;2;3;4;5;8;9;11;15;6;7;17;19;13;12;14;20;18;16;10
30;0;1;2;3;4;5;8;9;11;15;6;7;17;19;13;12;14;20;18;16;10
31;0;1;2;3;4;5;8;9;11;15;6;7;17;19;13;12;14;20;18;16;10
32;0;1;2;3;4;5;8;9;11;15;6;7;17;19;13;12;14;20;18;16;10
33;0;1;2;3;4;5;8;9;11;15;6;7;17;19;13;12;14;20;18;16;10
34;0;1;2;3;4;5;8;9;11;15;6;7;17;19;13;12;14;20;18;16;10
35;0;1;2;3;4;5;8;9;11;15;6;7;17;19;13;12;14;20;18;16;10
36;0;1;2;3;4;5;7;8;11;15;10;6;17;19;13;12;14;20;18;16;9
37;0;1;2;3;4;5;7;8;11;15;10;6;17;19;13;12;14;20;18;16;9
38;0;1;2;3;4;5;7;8;11;15;10;6;17;19;13;12;14;20;18;16;9
39;0;1;2;3;4;5;7;8;11;15;10;6;17;19;13;12;14;20;18;16;9
40;0;1;2;3;4;5;7;8;11;15;10;6;17;19;13;12;14;20;18;16;9
41;0;1;2;3;4;5;7;8;11;15;10;6;17;19;13;12;14;20;18;16;9
42;0;1;2;3;4;5;7;8;11;15;10;6;17;19;13;12;14;20;18;16;9
43;0;1;2;3;4;5;7;8;11;15;10;6;17;19;13;12;14;20;18;16;9
44;0;1;2;3;4;5;7;8;11;15;10;6;17;19;13;12;14;20;18;16;9
45;0;1;2;3;4;5;7;8;11;15;10;6;17;19;13;12;14;20;18;16;9
46;0;1;2;3;4;5;7;8;10;15;9;6;17;19;13;12;14;20;18;16;11
47;0;1;2;3;4;5;7;8;10;15;9;6;17;19;13;12;14;20;18;16;11
48;0;1;2;3;4;5;7;8;10;15;9;6;17;19;13;12;14;20;18;16;11
49;0;1;2;3;4;5;6;7;9;15;8;10;17;19;13;12;14;20;18;16;11
50;0;1;2;3;4;5;6;7;9;15;8;10;17;19;13;12;14;20;18;16;11
51;0;1;2;3;4;5;6;8;9;15;7;10;17;19;13;12;14;20;18;16;11
52;0;1;2;3;4;5;6;ab;8;14;7;9;16;18;12;11;13;19;17;15;10
53;0;1;2;3;4;5;6;ab;8;14;7;9;16;18;12;11;13;19;17;15;10
54;0;1;2;3;4;5;6;ab;9;14;7;8;16;18;12;11;13;19;17;15;10
55;0;1;2;3;4;5;6;ab;9;14;7;8;16;18;12;11;13;19;17;15;10
56;0;1;2;3;4;5;6;ab;10;14;7;8;16;18;12;11;13;19;17;15;9
57;0;1;2;3;4;5;6;ab;10;14;7;8;16;18;12;11;13;19;17;15;9
58;0;1;2;3;4;5;6;ab;10;14;7;8;16;18;12;11;13;19;17;15;9
59;0;1;2;3;4;5;6;ab;10;14;7;8;16;18;12;11;13;19;17;15;9
60;0;1;2;3;4;5;6;ab;10;14;7;8;16;18;12;11;13;19;17;15;9
61;0;1;2;3;4;5;6;ab;10;14;7;8;16;18;12;11;13;19;17;15;9
62;0;1;2;3;4;5;6;ab;10;14;7;8;16;18;12;11;13;19;17;15;9
63;0;1;2;3;4;5;6;ab;10;14;7;8;16;18;12;11;13;19;17;15;9
64;0;1;2;3;4;5;6;ab;10;14;7;8;16;18;12;11;13;19;17;15;9
65;0;1;2;3;4;5;6;ab;10;14;7;8;16;18;12;11;13;19;17;15;9
66;0;1;2;3;4;5;6;ab;10;14;7;8;16;18;12;11;13;19;17;15;9
67;0;1;2;3;4;5;6;ab;10;14;7;8;16;18;12;11;13;19;17;15;9
68;0;1;2;3;4;5;6;ab;10;14;7;8;16;18;12;11;13;19;17;15;9
69;0;1;2;3;4;5;6;ab;10;14;7;8;16;18;12;11;13;19;17;15;9
70;0;1;2;3;4;5;6;ab;10;12;7;8;14;16;18;19;11;17;15;13;9
71;1;1;2;3;4;5;6;ab;10;12;7;8;14;16;18;19;11;17;15;13;9
72;1;1;2;3;4;5;6;ab;10;12;7;8;14;16;18;19;11;17;15;13;9
73;1;1;2;3;4;5;6;ab;10;12;7;8;14;16;18;19;11;17;15;13;9
74;0;1;2;3;4;5;6;ab;10;12;7;8;14;16;18;19;11;17;15;13;9
75;0;1;2;3;4;5;6;ab;10;12;7;8;14;16;18;19;11;17;15;13;9
76;0;1;2;3;4;5;6;ab;10;12;7;8;14;16;18;19;11;17;15;13;9
77;0;1;2;3;4;5;6;ab;10;12;7;8;14;16;18;19;11;17;15;13;9
