;sc;BUT;MSC;ALO;FIS;MON;SAT;RAI;VIL;TRU;RSC;MAS;COU;HEI;WEB;ALB;KLI;KAR;MTR;FRI;BAR
21;0;6;7;2;1;3;20;4;15;5;12;10;13;11;8;18;14;16;17;19;9
22;0;5;6;2;1;3;20;4;15;8;12;10;13;11;7;18;14;16;17;19;9
23;0;5;6;3;1;2;20;4;15;8;12;10;13;11;7;18;14;16;17;19;9
24;0;5;6;3;1;2;19;4;15;8;12;10;13;11;7;17;14;ab;16;18;9
25;0;5;6;2;1;3;19;4;15;8;12;10;13;11;7;17;14;ab;16;18;9
26;0;5;6;2;1;3;19;4;15;8;12;10;13;11;7;17;14;ab;16;18;9
27;0;5;6;2;1;3;19;4;15;7;12;10;13;11;9;17;14;ab;16;18;8
28;0;5;6;2;1;3;19;4;15;7;12;10;13;11;9;17;14;ab;16;18;8
29;0;5;6;2;1;3;19;4;15;7;11;9;13;10;12;17;14;ab;16;18;8
30;0;5;6;2;1;3;19;4;15;7;10;8;13;9;11;17;14;ab;16;18;12
31;0;5;6;2;1;3;19;4;15;7;10;8;13;9;11;17;14;ab;16;18;12
32;0;4;5;1;ab;2;18;3;14;6;9;7;12;8;10;16;13;ab;15;17;11
33;0;4;5;1;ab;2;18;3;14;6;9;7;12;8;10;16;13;ab;15;17;11
34;0;4;5;1;ab;2;18;3;14;6;9;7;12;8;10;16;13;ab;15;17;11
35;0;4;5;1;ab;2;18;3;14;6;9;7;12;8;10;16;13;ab;15;17;11
36;0;4;5;1;ab;2;18;3;14;6;9;7;12;8;10;16;13;ab;15;17;11
37;0;4;5;1;ab;2;18;3;14;6;9;7;12;8;10;16;13;ab;15;17;11
38;0;3;4;ab;ab;1;17;2;13;5;8;6;11;7;9;15;12;ab;14;16;10
39;0;3;4;ab;ab;1;16;2;13;5;8;6;11;7;9;15;12;ab;14;ab;10
40;0;3;4;ab;ab;1;ab;2;13;5;8;6;11;7;9;15;12;ab;14;ab;10
41;0;3;4;ab;ab;1;ab;2;13;5;8;6;11;7;9;15;12;ab;14;ab;10
42;0;3;4;ab;ab;1;ab;2;13;5;7;6;11;9;8;15;12;ab;14;ab;10
43;0;3;4;ab;ab;1;ab;2;12;5;7;6;10;ab;8;14;11;ab;13;ab;9
44;0;3;4;ab;ab;1;ab;2;12;5;9;6;10;ab;7;14;11;ab;13;ab;8
45;0;3;4;ab;ab;1;ab;2;12;5;9;6;10;ab;7;14;11;ab;13;ab;8
46;1;ab;3;ab;ab;1;ab;2;11;4;7;5;9;ab;6;13;10;ab;12;ab;8
47;1;ab;3;ab;ab;1;ab;2;11;4;8;6;9;ab;5;13;10;ab;12;ab;7
48;1;ab;3;ab;ab;2;ab;1;11;4;8;6;9;ab;5;13;10;ab;12;ab;7
49;1;ab;3;ab;ab;2;ab;1;11;4;8;6;9;ab;5;13;10;ab;12;ab;7
50;0;ab;3;ab;ab;2;ab;1;11;4;8;6;9;ab;5;13;10;ab;12;ab;7
51;0;ab;3;ab;ab;2;ab;1;11;4;8;6;9;ab;7;13;10;ab;12;ab;5
52;0;ab;2;ab;ab;dsq;ab;1;10;3;7;5;8;ab;6;12;9;ab;11;ab;4
53;0;ab;2;ab;ab;dsq;ab;1;10;3;7;5;8;ab;6;12;9;ab;11;ab;4
54;0;ab;2;ab;ab;dsq;ab;1;10;3;7;5;8;ab;6;12;9;ab;11;ab;4
55;0;ab;2;ab;ab;dsq;ab;1;10;3;7;5;8;ab;6;12;9;ab;11;ab;4
56;0;ab;2;ab;ab;dsq;ab;1;10;3;7;5;8;ab;6;12;9;ab;11;ab;4
57;0;ab;2;ab;ab;dsq;ab;1;10;3;7;5;8;ab;6;12;9;ab;11;ab;4
58;0;ab;2;ab;ab;dsq;ab;1;10;3;7;5;8;ab;6;12;9;ab;11;ab;4
59;0;ab;2;ab;ab;dsq;ab;1;10;3;7;5;8;ab;6;12;9;ab;11;ab;4
60;0;ab;2;ab;ab;dsq;ab;1;10;3;7;5;8;ab;6;12;9;ab;11;ab;4
61;0;ab;2;ab;ab;dsq;ab;1;10;3;7;5;8;ab;6;12;9;ab;11;ab;4
62;0;ab;2;ab;ab;dsq;ab;1;9;ab;6;4;7;ab;5;11;8;ab;10;ab;3
63;0;ab;2;ab;ab;dsq;ab;1;9;ab;6;4;7;ab;5;11;8;ab;10;ab;3
64;0;ab;2;ab;ab;dsq;ab;1;9;ab;6;4;7;ab;5;11;8;ab;10;ab;3
65;0;ab;2;ab;ab;dsq;ab;1;9;ab;6;4;7;ab;5;11;8;ab;10;ab;3
66;0;ab;2;ab;ab;dsq;ab;1;9;ab;6;4;7;ab;5;11;8;ab;10;ab;3
67;0;ab;2;ab;ab;dsq;ab;1;9;ab;6;4;7;ab;5;11;8;ab;10;ab;3
68;0;ab;2;ab;ab;dsq;ab;1;9;ab;6;4;7;ab;5;11;8;ab;10;ab;3
69;0;ab;2;ab;ab;dsq;ab;1;9;ab;6;4;7;ab;5;11;8;ab;10;ab;3
