;sc;ALO;RSC;WEB;MON;BAR;TRU;RAI;MSC;COU;PAN;HEI;WIL2;FIS;BUT;DMA;VIL;FRE;VER;BAU;KIE
33;0;1;5;7;2;ab;9;3;4;6;ab;8;11;ab;10;15;ab;12;14;13;16
34;0;1;7;6;2;ab;8;3;4;5;ab;9;11;ab;10;14;ab;12;13;ab;15
35;0;1;7;6;5;ab;8;2;3;4;ab;9;11;ab;10;14;ab;12;13;ab;15
36;0;1;7;6;5;ab;8;2;3;4;ab;9;11;ab;10;14;ab;12;13;ab;15
37;0;1;7;6;5;ab;8;2;3;4;ab;9;11;ab;10;14;ab;12;13;ab;15
38;0;1;7;6;5;ab;8;2;3;4;ab;9;11;ab;10;14;ab;12;13;ab;15
39;0;1;6;5;4;ab;7;2;8;3;ab;9;11;ab;10;14;ab;12;13;ab;15
40;0;1;6;5;4;ab;7;2;8;3;ab;9;11;ab;10;14;ab;12;13;ab;15
41;0;1;6;5;4;ab;7;2;8;3;ab;9;11;ab;10;13;ab;12;14;ab;15
42;0;1;6;5;3;ab;7;2;8;4;ab;9;ab;ab;10;12;ab;11;13;ab;14
43;0;1;5;4;3;ab;6;2;8;7;ab;9;ab;ab;11;12;ab;10;13;ab;14
44;0;1;5;4;3;ab;6;2;8;7;ab;9;ab;ab;11;12;ab;10;13;ab;14
45;0;1;4;5;3;ab;6;2;8;7;ab;9;ab;ab;11;12;ab;10;13;ab;14
46;0;1;4;5;3;ab;6;2;8;7;ab;9;ab;ab;11;12;ab;10;13;ab;14
47;0;1;4;5;3;ab;6;2;8;7;ab;9;ab;ab;10;11;ab;ab;12;ab;13
48;0;1;4;5;3;ab;6;2;8;7;ab;9;ab;ab;10;11;ab;ab;12;ab;13
49;0;1;4;5;3;ab;6;2;8;7;ab;9;ab;ab;10;11;ab;ab;12;ab;13
50;0;1;4;7;3;ab;5;2;9;6;ab;8;ab;ab;10;11;ab;ab;12;ab;13
51;0;1;3;7;4;ab;5;2;8;6;ab;9;ab;ab;10;11;ab;ab;12;ab;13
52;0;1;3;6;4;ab;7;2;8;5;ab;9;ab;ab;10;11;ab;ab;12;ab;13
53;0;1;4;6;3;ab;7;2;8;5;ab;9;ab;ab;10;11;ab;ab;12;ab;13
54;0;1;4;6;3;ab;7;2;8;5;ab;9;ab;ab;10;11;ab;ab;12;ab;13
55;0;1;4;6;3;ab;7;2;8;5;ab;9;ab;ab;10;11;ab;ab;12;ab;13
56;0;1;4;6;3;ab;7;2;8;5;ab;9;ab;ab;10;11;ab;ab;12;ab;13
57;0;1;4;6;3;ab;7;2;8;5;ab;9;ab;ab;10;11;ab;ab;12;ab;13
58;0;1;4;6;3;ab;7;2;8;5;ab;9;ab;ab;10;11;ab;ab;12;ab;13
59;0;1;4;6;3;ab;7;2;8;5;ab;9;ab;ab;10;11;ab;ab;12;ab;13
60;0;1;4;6;3;ab;7;2;8;5;ab;9;ab;ab;10;11;ab;ab;12;ab;13
61;0;1;4;6;3;ab;7;2;8;5;ab;9;ab;ab;10;11;ab;ab;12;ab;13
62;0;1;4;6;3;ab;7;2;8;5;ab;9;ab;ab;10;11;ab;ab;12;ab;13
63;0;1;4;6;3;ab;7;2;8;5;ab;9;ab;ab;10;11;ab;ab;12;ab;13
64;0;1;4;6;3;ab;7;2;8;5;ab;9;ab;ab;10;11;ab;ab;12;ab;13
65;0;1;4;6;3;ab;7;2;8;5;ab;9;ab;ab;10;11;ab;ab;12;ab;13
66;0;1;4;6;3;ab;7;2;8;5;ab;9;ab;ab;10;11;ab;ab;12;ab;ab
67;0;1;4;6;3;ab;7;2;8;5;ab;9;ab;ab;10;11;ab;ab;12;ab;ab
68;0;1;4;6;3;ab;7;2;8;5;ab;9;ab;ab;10;11;ab;ab;12;ab;ab
69;0;1;4;6;3;ab;7;2;8;5;ab;9;ab;ab;10;11;ab;ab;12;ab;ab
