;sc;VET;WEB;GRO;HUL;HAM;ALO;PER;KOV;BOT;RIC;DRE;ROS;MAS;VER;BUT;SUT;MAL;VDG;BIA;GUT;CHI;PIC
25;0;1;3;2;4;6;5;8;11;10;14;12;13;15;9;16;ab;17;19;18;7;21;20
26;0;1;3;2;4;5;7;8;11;9;14;12;13;15;10;16;ab;17;19;18;6;21;20
27;0;3;2;1;5;4;7;8;10;9;13;11;12;14;16;15;ab;17;19;18;6;21;20
28;0;2;3;1;5;4;6;8;11;9;13;10;12;14;16;15;ab;17;19;18;7;21;20
29;0;1;3;2;5;4;6;7;11;9;13;10;12;14;16;15;ab;17;19;18;8;21;20
30;0;1;3;2;5;4;6;7;12;9;13;10;11;14;16;15;ab;17;19;18;8;21;20
31;0;1;3;2;5;4;6;7;17;9;12;10;11;13;15;14;ab;16;19;18;8;21;20
32;0;1;3;2;5;4;6;7;17;9;12;11;10;13;15;14;ab;16;19;18;8;21;20
33;0;1;3;2;5;4;6;7;17;9;12;11;10;13;15;14;ab;16;19;18;8;21;20
34;0;1;3;2;5;4;6;7;17;8;12;11;10;13;15;14;ab;16;19;18;9;21;20
35;0;1;3;2;5;4;6;7;17;8;12;11;10;13;15;14;ab;16;19;18;9;21;20
36;0;1;3;2;5;4;6;7;17;8;11;10;9;12;14;13;ab;16;19;18;15;21;20
37;0;1;3;2;5;4;6;7;17;8;11;10;9;12;14;13;ab;16;19;18;15;21;20
38;0;1;3;2;5;4;6;7;17;8;11;10;9;16;13;12;ab;15;19;18;14;21;20
39;0;1;3;2;5;4;6;7;17;8;11;10;9;16;13;12;ab;15;19;18;14;21;20
40;0;1;3;2;5;4;6;7;17;8;11;10;9;16;13;12;ab;15;19;18;14;21;20
41;0;1;3;2;5;4;6;7;17;8;11;10;9;16;13;12;ab;15;19;18;14;21;20
42;0;1;3;2;5;4;6;7;17;8;11;10;9;16;13;12;ab;15;19;18;14;21;20
43;0;1;3;2;5;4;6;7;17;8;10;11;9;16;13;12;ab;15;19;18;14;21;20
44;0;1;3;2;6;4;5;7;17;8;10;11;9;16;13;12;ab;15;19;18;14;21;20
45;0;1;3;2;6;4;5;7;17;8;10;11;9;15;13;12;ab;16;19;18;14;21;20
46;0;1;3;2;6;4;5;7;17;8;10;11;9;15;13;12;ab;16;19;18;14;21;20
47;0;1;3;2;6;4;5;7;17;8;10;11;9;15;13;12;ab;16;19;18;14;21;20
48;0;1;3;2;6;4;5;7;17;8;10;12;9;15;13;11;ab;16;19;18;14;21;20
49;0;1;3;2;6;4;5;7;15;8;10;16;9;14;12;11;ab;17;19;18;13;21;20
50;0;1;3;2;6;4;5;7;15;8;10;16;9;14;12;11;ab;17;19;18;13;21;20
51;0;1;3;2;6;4;5;7;15;8;10;16;9;14;12;11;ab;17;19;18;13;21;20
52;0;1;3;2;6;4;5;7;15;8;10;16;9;14;12;11;ab;17;19;18;13;21;20
53;0;1;3;2;6;4;5;7;15;8;10;16;9;14;12;11;ab;17;19;18;13;21;20
54;0;1;3;2;6;4;5;7;15;8;11;16;9;14;12;10;ab;17;19;18;13;21;20
55;0;1;3;2;6;4;5;7;15;8;11;16;9;13;12;10;ab;17;19;18;14;21;20
