;sc;MSC;RSC;MON;BAR;COU;HAK;TRU;FRE;RAI;HEI;VIL;IRV;PAN;ALE;FIS;DLR;BUR2;BER;VER;BUT;ALO;MAR
40;0;1;4;2;3;5;9;7;12;13;14;6;11;ab;10;15;8;19;ab;16;17;18;ab
41;0;1;4;2;3;5;9;7;12;13;14;6;11;ab;10;15;8;19;ab;16;17;18;ab
42;0;1;4;2;3;5;9;6;11;12;13;8;10;ab;14;17;7;19;ab;15;16;18;ab
43;0;1;4;2;3;5;8;6;10;12;13;11;9;ab;14;16;7;18;ab;15;19;17;ab
44;0;1;3;2;5;4;6;ab;8;11;12;10;7;ab;13;15;9;17;ab;14;18;16;ab
45;0;1;3;2;5;4;6;ab;8;11;12;10;7;ab;13;15;9;16;ab;14;18;17;ab
46;0;1;3;2;5;4;6;ab;8;11;13;10;7;ab;12;14;9;15;ab;16;17;18;ab
47;0;1;3;2;5;4;6;ab;8;11;13;10;7;ab;12;14;9;15;ab;16;17;18;ab
48;0;1;3;2;5;4;6;ab;ab;10;12;9;7;ab;11;13;8;14;ab;15;16;17;ab
49;0;1;3;2;5;4;6;ab;ab;10;12;9;7;ab;11;13;8;16;ab;14;15;17;ab
50;0;1;3;2;5;4;6;ab;ab;10;12;9;7;ab;11;13;8;16;ab;14;15;17;ab
51;0;1;3;2;5;4;6;ab;ab;10;12;9;7;ab;11;13;8;16;ab;14;15;17;ab
52;0;1;4;2;5;3;6;ab;ab;10;12;9;7;ab;11;13;8;16;ab;14;15;17;ab
53;0;1;4;2;5;3;6;ab;ab;10;13;9;7;ab;11;12;8;16;ab;14;15;17;ab
54;0;1;4;2;5;3;6;ab;ab;10;ab;9;7;ab;11;12;8;15;ab;13;14;16;ab
55;0;1;4;2;5;3;6;ab;ab;10;ab;9;7;ab;11;12;8;14;ab;13;15;16;ab
56;0;1;4;2;5;3;6;ab;ab;10;ab;9;7;ab;11;12;8;14;ab;13;15;16;ab
57;0;1;4;2;5;3;6;ab;ab;10;ab;9;7;ab;11;12;8;14;ab;13;15;16;ab
58;0;1;4;2;5;3;6;ab;ab;10;ab;9;7;ab;11;12;8;13;ab;ab;14;15;ab
59;0;1;4;2;5;3;6;ab;ab;10;ab;9;7;ab;11;12;8;13;ab;ab;14;15;ab
60;0;1;4;2;5;3;6;ab;ab;10;ab;9;7;ab;11;12;8;13;ab;ab;14;15;ab
61;0;1;4;2;5;3;6;ab;ab;10;ab;9;7;ab;11;12;8;13;ab;ab;14;15;ab
62;0;1;4;2;5;3;6;ab;ab;10;ab;9;7;ab;11;12;8;13;ab;ab;14;15;ab
63;0;1;4;2;5;3;6;ab;ab;10;ab;9;7;ab;11;12;8;13;ab;ab;14;15;ab
64;0;1;4;2;5;3;6;ab;ab;10;ab;9;7;ab;15;11;8;12;ab;ab;13;14;ab
65;0;1;4;2;5;3;6;ab;ab;10;ab;9;7;ab;15;11;8;ab;ab;ab;13;14;ab
66;0;1;4;2;5;3;6;ab;ab;10;ab;9;7;ab;15;11;8;ab;ab;ab;13;14;ab
