;sc;MON;BAR;MSC;RSC;TRU;COU;HAK;HEI;RAI;DLR;BUT;FRE2;IRV;FIS;VIL;ALE2;PAN;BER;VER;ENG;ALO;YOO
29;0;3;2;4;1;ab;ab;ab;12;10;5;ab;ab;ab;9;6;7;8;13;ab;11;14;15
30;0;3;2;4;1;ab;ab;ab;12;9;5;ab;ab;ab;11;6;7;8;13;ab;10;14;15
31;0;3;2;4;1;ab;ab;ab;12;9;5;ab;ab;ab;11;6;7;8;13;ab;10;14;15
32;0;3;2;4;1;ab;ab;ab;11;7;5;ab;ab;ab;10;6;8;9;12;ab;13;14;15
33;0;3;2;4;1;ab;ab;ab;11;7;5;ab;ab;ab;10;6;8;9;12;ab;13;14;15
34;0;3;2;4;1;ab;ab;ab;11;7;5;ab;ab;ab;10;6;8;9;12;ab;13;14;15
35;0;2;1;3;4;ab;ab;ab;11;7;5;ab;ab;ab;10;6;8;9;12;ab;13;14;15
36;0;2;1;3;4;ab;ab;ab;11;7;5;ab;ab;ab;10;6;8;9;12;ab;13;14;15
37;0;2;1;3;4;ab;ab;ab;11;7;5;ab;ab;ab;10;6;8;9;12;ab;13;14;15
38;0;2;1;3;4;ab;ab;ab;11;7;5;ab;ab;ab;10;6;8;9;12;ab;13;14;15
39;0;2;1;3;4;ab;ab;ab;11;7;5;ab;ab;ab;10;6;8;9;12;ab;13;14;15
40;0;2;1;4;3;ab;ab;ab;11;7;5;ab;ab;ab;10;6;8;9;12;ab;13;14;15
41;0;1;3;4;2;ab;ab;ab;11;7;5;ab;ab;ab;10;6;8;9;12;ab;13;14;15
42;0;1;3;4;2;ab;ab;ab;11;7;5;ab;ab;ab;10;6;8;9;13;ab;12;14;15
43;0;1;3;4;2;ab;ab;ab;11;7;5;ab;ab;ab;10;6;8;9;13;ab;12;14;15
44;0;1;3;4;2;ab;ab;ab;11;7;5;ab;ab;ab;10;6;8;9;13;ab;12;14;ab
45;0;1;3;4;2;ab;ab;ab;11;7;5;ab;ab;ab;10;6;8;9;13;ab;12;14;ab
46;0;1;2;4;3;ab;ab;ab;11;7;5;ab;ab;ab;10;6;8;9;ab;ab;12;13;ab
47;0;1;2;4;3;ab;ab;ab;11;7;5;ab;ab;ab;10;6;8;9;ab;ab;12;13;ab
48;0;1;2;4;3;ab;ab;ab;11;7;5;ab;ab;ab;10;6;8;9;ab;ab;12;13;ab
49;0;1;2;4;3;ab;ab;ab;11;7;5;ab;ab;ab;10;6;8;9;ab;ab;12;13;ab
50;0;1;2;4;3;ab;ab;ab;11;7;5;ab;ab;ab;10;6;8;9;ab;ab;12;13;ab
51;0;1;2;4;3;ab;ab;ab;11;7;5;ab;ab;ab;10;6;8;9;ab;ab;12;13;ab
52;0;1;2;4;3;ab;ab;ab;11;7;5;ab;ab;ab;10;6;ab;9;ab;ab;ab;13;ab
