;sc;ALO;FIS;MSC;MAS;BAR;RSC;TRU;BUT;RAI;HEI;WEB;MON;ROS;KLI;LIU;SPE;MTR;ALB;SAT;MTG;COU;VIL
46;0;1;3;2;4;8;ab;11;6;5;7;9;ab;10;12;13;14;17;19;18;ab;16;15
47;0;1;3;2;4;8;ab;11;6;5;7;10;ab;9;12;13;ab;16;18;17;ab;15;14
48;0;1;3;2;4;8;ab;11;6;5;7;10;ab;9;12;13;ab;16;ab;17;ab;15;14
49;0;1;3;2;4;8;ab;10;6;5;7;9;ab;11;12;15;ab;16;ab;17;ab;14;13
50;0;1;3;2;4;7;ab;10;6;5;8;9;ab;11;14;15;ab;16;ab;17;ab;13;12
51;0;1;3;2;4;7;ab;10;6;5;8;9;ab;11;14;15;ab;16;ab;17;ab;13;12
52;0;1;3;2;4;7;ab;10;6;5;8;9;ab;11;14;15;ab;16;ab;17;ab;13;12
53;0;1;3;2;4;7;ab;10;6;5;8;9;ab;11;13;14;ab;16;ab;17;ab;15;12
54;0;1;3;2;4;7;ab;10;6;5;8;9;ab;11;13;14;ab;16;ab;17;ab;15;12
55;0;1;3;2;4;7;ab;10;6;5;8;9;ab;11;13;14;ab;16;ab;17;ab;15;12
56;0;1;3;2;4;7;ab;10;6;5;8;9;ab;11;13;14;ab;16;ab;17;ab;15;12
57;0;1;3;2;4;7;ab;10;6;5;8;9;ab;11;13;14;ab;16;ab;17;ab;15;12
58;0;1;3;2;4;7;ab;10;6;5;8;9;ab;11;13;14;ab;16;ab;17;ab;15;12
59;0;1;3;2;4;7;ab;10;6;5;8;9;ab;11;13;14;ab;16;ab;17;ab;15;12
60;0;1;3;2;4;7;ab;10;6;5;8;9;ab;11;13;14;ab;16;ab;17;ab;15;12
61;0;1;3;2;4;7;ab;10;6;5;8;9;ab;11;13;14;ab;16;ab;17;ab;15;12
62;0;1;3;2;4;7;ab;10;6;5;8;9;ab;11;13;14;ab;16;ab;17;ab;15;12
63;0;1;3;2;4;7;ab;10;6;5;8;9;ab;11;13;15;ab;16;ab;17;ab;14;12
64;0;1;3;2;4;7;ab;10;6;5;8;9;ab;11;13;15;ab;16;ab;17;ab;14;12
65;0;1;3;2;4;7;ab;10;6;5;8;9;ab;11;13;15;ab;16;ab;17;ab;14;12
