;sc;VET;HAM;BUT;ALO;WEB;MAS;PET;MSC;ROS;SEN;DRE;SUT;BAR;MAL;PER;BUE;KOB;ALG;TRU;KOV;GLO;DAM;RIC;LIU
33;0;1;4;5;2;ab;6;ab;3;ab;9;11;ab;13;10;ab;8;ab;7;15;12;14;ab;16;ab
34;0;1;6;4;3;ab;5;ab;2;ab;9;11;ab;13;10;ab;8;ab;7;15;12;14;ab;16;ab
35;0;1;6;3;4;ab;5;ab;2;ab;9;11;ab;12;10;ab;8;ab;7;15;13;14;ab;16;ab
36;0;1;6;3;4;ab;5;ab;2;ab;9;11;ab;12;10;ab;8;ab;7;15;13;14;ab;16;ab
37;0;1;5;2;3;ab;4;ab;6;ab;9;10;ab;12;11;ab;8;ab;7;15;13;14;ab;16;ab
38;0;1;5;2;3;ab;4;ab;6;ab;9;10;ab;12;11;ab;8;ab;7;14;13;15;ab;16;ab
39;0;1;5;2;3;ab;4;ab;6;ab;9;10;ab;12;11;ab;8;ab;7;14;13;15;ab;nc;ab
40;0;1;5;2;3;ab;4;ab;6;ab;10;8;ab;12;11;ab;9;ab;7;14;13;15;ab;nc;ab
41;0;1;4;2;3;ab;6;ab;5;ab;10;8;ab;12;11;ab;9;ab;7;14;13;15;ab;nc;ab
42;0;1;4;2;3;ab;6;ab;5;ab;10;8;ab;12;11;ab;9;ab;7;14;13;15;ab;nc;ab
43;0;1;4;2;3;ab;6;ab;5;ab;10;8;ab;12;11;ab;9;ab;7;14;13;15;ab;nc;ab
44;0;1;4;2;3;ab;6;ab;5;ab;10;8;ab;12;11;ab;9;ab;7;14;13;15;ab;nc;ab
45;0;1;4;2;3;ab;6;ab;5;ab;10;8;ab;12;11;ab;9;ab;7;14;13;15;ab;nc;ab
46;0;1;4;2;3;ab;6;ab;5;ab;9;8;ab;12;11;ab;10;ab;7;14;13;15;ab;nc;ab
47;0;1;4;2;3;ab;6;ab;5;ab;9;8;ab;12;11;ab;10;ab;7;14;13;15;ab;nc;ab
48;0;1;4;2;3;ab;6;ab;5;ab;9;8;ab;12;11;ab;10;ab;7;14;13;15;ab;nc;ab
49;0;1;4;2;3;ab;6;ab;5;ab;9;8;ab;12;11;ab;10;ab;7;14;13;15;ab;nc;ab
50;0;1;4;2;3;ab;6;ab;5;ab;9;8;ab;12;11;ab;10;ab;7;14;13;15;ab;nc;ab
51;0;1;4;2;3;ab;6;ab;5;ab;9;8;ab;12;11;ab;10;ab;7;14;13;15;ab;nc;ab
52;0;1;4;2;3;ab;6;ab;5;ab;ab;8;ab;12;11;ab;10;ab;7;14;13;15;ab;nc;ab
