;sc;VET;WEB;BUT;HAM;ALO;ROS;MAS;SUT;SEN;MSC;DRE;BAR;ALG;BUE;PET;KOB;PER;MAL;KOV;TRU;LIU;RIC;DAM;GLO
27;0;1;2;4;5;3;8;6;7;17;18;10;15;14;12;9;11;13;ab;16;19;21;22;20;ab
28;0;1;2;4;5;3;8;6;7;18;17;10;15;14;12;9;11;13;ab;16;19;21;22;20;ab
29;0;2;1;4;5;3;8;6;7;18;17;9;15;14;12;10;11;13;ab;16;19;21;22;20;ab
30;0;2;1;5;4;3;8;6;7;18;17;9;15;13;11;14;10;12;ab;16;19;21;22;20;ab
31;0;2;1;6;4;3;7;5;9;18;16;8;15;13;11;14;10;12;ab;17;19;21;22;20;ab
32;0;2;1;6;4;3;7;5;9;17;19;8;15;13;11;14;10;12;ab;16;18;21;22;20;ab
33;0;2;1;5;6;3;7;4;9;17;19;8;15;13;11;14;10;12;ab;16;18;21;22;20;ab
34;0;2;1;5;6;3;7;4;9;17;19;8;15;12;11;13;10;14;ab;16;18;21;22;20;ab
35;0;2;1;5;6;3;7;4;9;17;18;8;15;12;11;13;10;14;ab;16;19;21;22;20;ab
36;0;2;1;5;6;3;7;4;8;17;18;9;15;12;11;13;10;14;ab;16;19;21;22;20;ab
37;0;1;2;5;6;3;7;4;8;18;17;9;15;12;11;13;10;14;ab;16;19;21;22;20;ab
38;0;1;2;4;6;3;7;5;8;18;17;9;15;12;11;13;10;14;ab;16;19;21;22;20;ab
39;0;2;1;4;6;3;7;5;8;18;17;10;15;12;11;13;9;14;ab;16;19;21;22;20;ab
40;0;2;1;4;6;3;7;5;8;18;17;13;15;11;10;12;9;14;ab;16;19;20;22;21;ab
41;0;2;1;4;6;3;8;5;7;18;17;13;15;10;12;11;9;14;ab;16;19;20;22;21;ab
42;0;2;1;4;6;3;9;5;7;18;17;12;15;10;14;11;8;13;ab;16;19;20;22;21;ab
43;0;2;1;4;6;3;8;5;7;18;17;11;15;9;14;10;12;13;ab;16;19;20;22;21;ab
44;0;2;1;4;6;3;8;5;7;18;16;10;14;9;13;11;12;15;ab;17;19;20;22;21;ab
45;0;2;1;4;6;3;7;5;8;18;16;10;14;9;13;12;11;15;ab;17;19;21;22;20;ab
46;0;2;1;4;ab;3;6;5;7;17;15;9;13;8;12;11;10;14;ab;16;18;20;21;19;ab
47;0;2;1;4;ab;3;7;5;6;17;15;8;13;9;12;11;10;14;ab;16;18;20;21;19;ab
48;0;2;1;4;ab;3;6;5;7;17;15;8;13;11;12;10;9;14;ab;16;18;20;21;19;ab
49;0;2;1;4;ab;3;7;5;6;17;15;8;13;11;12;10;9;14;ab;16;18;20;21;19;ab
50;0;2;1;4;ab;3;7;5;6;17;15;8;13;11;12;10;9;14;ab;16;18;20;21;19;ab
51;0;2;1;4;ab;3;7;5;6;17;15;8;13;11;12;10;9;14;ab;16;18;20;21;19;ab
52;0;2;1;4;ab;3;7;5;6;17;15;8;14;11;12;10;9;13;ab;16;18;20;21;19;ab
53;0;2;1;4;ab;3;7;5;6;17;15;8;14;11;12;10;9;13;ab;16;18;20;21;19;ab
54;0;2;1;4;ab;3;7;5;6;17;15;8;14;11;12;10;9;13;ab;16;18;20;21;19;ab
55;0;2;1;4;ab;3;7;5;6;17;15;8;14;11;12;10;9;13;ab;16;18;20;21;19;ab
56;0;2;1;4;ab;3;7;5;6;17;15;8;14;11;12;10;9;13;ab;16;18;20;21;19;ab
57;0;2;1;4;ab;3;7;5;6;17;15;8;14;11;12;10;9;13;ab;16;18;20;21;19;ab
58;0;1;2;4;ab;3;7;5;6;17;15;8;14;11;12;10;9;13;ab;16;18;20;21;19;ab
59;0;2;1;4;ab;3;7;5;6;17;15;8;14;11;12;10;9;13;ab;16;18;20;21;19;ab
60;0;2;1;4;ab;3;7;5;6;17;15;8;14;11;12;10;9;13;ab;16;18;20;21;19;ab
61;0;2;1;3;ab;4;7;5;6;17;15;8;14;11;12;10;9;13;ab;16;18;ab;20;19;ab
62;0;2;1;3;ab;4;7;5;6;17;15;8;14;11;12;10;9;13;ab;16;18;ab;20;19;ab
63;0;2;1;3;ab;4;7;5;6;17;15;8;14;11;12;10;9;13;ab;16;18;ab;20;19;ab
64;0;2;1;3;ab;4;7;5;6;17;15;8;14;11;12;10;9;13;ab;16;18;ab;20;19;ab
65;0;2;1;3;ab;4;7;5;6;17;15;8;14;11;12;10;9;13;ab;16;18;ab;20;19;ab
66;0;2;1;3;ab;4;7;5;6;17;15;8;14;11;12;10;9;13;ab;16;18;ab;20;19;ab
67;0;2;1;3;ab;4;7;5;6;17;15;8;14;11;12;10;9;13;ab;16;18;ab;20;19;ab
68;0;2;1;3;ab;4;7;5;6;17;15;8;14;11;12;10;9;13;ab;16;18;ab;20;19;ab
69;0;2;1;3;ab;4;7;5;6;ab;15;8;14;11;12;10;9;13;ab;16;18;ab;20;19;ab
70;0;2;1;3;ab;4;7;5;6;ab;15;8;14;11;12;10;9;13;ab;16;18;ab;20;19;ab
