;sc;BOT;VER;SAI;PER;HAM;NOR;LEC;GAS;OCO;VET;RIC;ALO;GIO;STR;TSU;LAT;RUS;RAI;MSC;MAZ
44;0;3;1;6;4;2;13;5;7;9;11;8;10;16;14;17;18;15;12;20;19
45;0;3;1;6;4;2;13;5;7;9;11;8;10;16;14;17;18;15;12;20;19
46;0;3;1;6;4;2;12;5;7;9;11;8;10;16;14;17;18;15;13;20;19
47;0;3;1;6;4;2;12;5;7;9;11;8;10;15;ab;16;17;14;13;19;18
48;0;3;1;6;4;2;12;5;7;8;11;10;9;15;ab;16;17;14;13;19;18
49;0;3;1;6;4;2;11;5;7;8;10;ab;9;14;ab;15;16;13;12;18;17
50;0;3;1;6;4;2;11;5;7;8;10;ab;9;14;ab;15;16;13;12;18;17
51;0;3;1;5;4;2;11;6;9;8;10;ab;7;14;ab;15;16;13;12;18;17
52;0;3;1;5;4;2;11;6;9;8;10;ab;7;14;ab;15;16;13;12;18;17
53;0;3;1;6;4;2;11;5;9;8;10;ab;7;14;ab;15;16;13;12;18;17
54;0;3;1;6;4;2;11;5;9;8;10;ab;7;14;ab;15;16;13;12;18;17
55;0;3;1;6;4;2;10;5;9;8;11;ab;7;14;ab;15;16;13;12;18;17
56;0;3;1;6;4;2;10;5;9;8;11;ab;7;14;ab;15;16;13;12;18;17
57;0;3;1;6;4;2;10;5;9;8;11;ab;7;14;ab;15;16;13;12;18;17
58;0;3;2;6;4;1;10;5;9;8;11;ab;7;14;ab;15;16;13;12;18;17
59;0;3;2;6;4;1;10;5;8;9;11;ab;7;14;ab;15;16;13;12;18;17
60;0;3;2;6;4;1;10;5;7;9;11;ab;8;14;ab;15;16;13;12;18;17
61;0;3;2;6;4;1;10;5;7;9;11;ab;8;14;ab;15;16;13;12;18;17
62;0;3;2;6;4;1;10;5;7;9;11;ab;8;14;ab;15;16;13;12;18;17
63;0;3;2;6;4;1;10;5;7;9;11;ab;8;14;ab;15;16;13;12;18;17
64;0;3;2;6;4;1;10;5;7;9;11;ab;8;14;ab;15;16;13;12;18;17
65;0;3;2;6;4;1;10;5;7;9;11;ab;8;14;ab;15;16;13;12;18;17
66;0;3;2;6;4;1;10;5;7;9;11;ab;8;14;ab;15;16;13;12;18;17
67;0;3;2;6;4;1;10;5;7;9;11;ab;8;14;ab;15;16;13;12;18;17
68;0;3;2;6;4;1;10;5;7;9;11;ab;8;14;ab;15;16;13;12;18;17
69;0;3;2;6;4;1;10;5;7;8;11;ab;9;14;ab;15;16;13;12;18;17
70;0;3;2;6;4;1;10;5;7;8;11;ab;9;14;ab;15;16;13;12;18;17
